country,iso3,gdp_usd,gdp_ref_year,income_group,gdp_pc_usd
Andorra,AND,3785065524.84754,2023.0,High income,
Antigua and Barbuda,ATG,2005785185.18518,2023.0,High income,
Aruba,ABW,3834729616.12027,2023.0,High income,
Australia,AUS,1734451264655.6,2023.0,High income,68114.0
Austria,AUT,516670509628.876,2023.0,High income,
"Bahamas, The",BHS,15271300000.0,2023.0,High income,
Bahrain,BHR,46192260638.2979,2023.0,High income,
Barbados,BRB,7223250000.0,2023.0,High income,
Belgium,BEL,651330595110.011,2023.0,High income,
Bermuda,BMU,8579242000.0,2023.0,High income,
British Virgin Islands,VGB,,,High income,
Brunei Darussalam,BRN,15095084656.1634,2023.0,High income,
Bulgaria,BGR,102199231384.542,2023.0,High income,
Canada,CAN,2173339670064.33,2023.0,High income,
Cayman Islands,CYM,7241244269.45972,2023.0,High income,
Channel Islands,CHI,12507320838.3932,2023.0,High income,
Chile,CHL,335518054097.637,2023.0,High income,
Croatia,HRV,85624153964.0987,2023.0,High income,
Curacao,CUW,3281419347.37053,2023.0,High income,
Cyprus,CYP,35075423857.0996,2023.0,High income,
Czechia,CZE,345059295659.911,2023.0,High income,
Denmark,DNK,404651706117.557,2023.0,High income,
Estonia,EST,41470344395.1086,2023.0,High income,
Faroe Islands,FRO,3943131022.2291,2023.0,High income,
Finland,FIN,295021982462.75,2023.0,High income,
France,FRA,3056250648138.29,2023.0,High income,
French Polynesia,PYF,6137447782.87066,2023.0,High income,
Germany,DEU,4562207532490.28,2023.0,High income,
Gibraltar,GIB,,,High income,
Greece,GRC,242946187738.269,2023.0,High income,
Greenland,GRL,3326543974.39193,2023.0,High income,
Guam,GUM,6910000000.0,2022.0,High income,
"Hong Kong SAR, China",HKG,381043026173.935,2023.0,High income,
Hungary,HUN,213240316634.648,2023.0,High income,
Iceland,ISL,31677891896.7861,2023.0,High income,
Ireland,IRL,567372737459.116,2023.0,High income,
Isle of Man,IMN,7431257410.92713,2022.0,High income,
Israel,ISR,512184638998.974,2023.0,High income,
Italy,ITA,2316727999333.18,2023.0,High income,
Japan,JPN,4213167237905.83,2023.0,High income,33368.0
"Korea, Rep.",KOR,1844800934391.54,2023.0,High income,35676.0
Kuwait,KWT,165384407116.233,2023.0,High income,
Latvia,LVA,42779550936.838,2023.0,High income,
Liechtenstein,LIE,8239379403.22096,2023.0,High income,
Lithuania,LTU,79789877416.1681,2023.0,High income,
Luxembourg,LUX,88788881539.3937,2023.0,High income,
"Macao SAR, China",MAC,45626467279.891,2023.0,High income,
Malta,MLT,22610561526.1461,2023.0,High income,
Monaco,MCO,10003892565.2005,2023.0,High income,
Nauru,NRU,151435609.578807,2023.0,High income,
