ISO,Country,Subregion,Region,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",Event Name,NAME_NORM
REU,Réunion,Sub-Saharan Africa,Africa,1980,1.0,27.0,1980,1.0,27.0,25.0,,7000.0,67000.0,255037.0,HYACINTHE,HYACINTHE_1980_01
FJI,Fiji,Melanesia,Oceania,1980,3.0,24.0,1980,3.0,24.0,18.0,250.0,35250.0,2256.0,8588.0,WALLY,WALLY_1980_03
BGD,Bangladesh,Southern Asia,Asia,1980,4.0,,1980,4.0,,11.0,50.0,1050.0,,,,
KOR,Republic of Korea,Eastern Asia,Asia,1980,7.0,,1980,7.0,,150.0,,20000.0,,,,
PHL,Philippines,South-eastern Asia,Asia,1980,7.0,21.0,1980,7.0,21.0,31.0,,600000.0,15400.0,58620.0,JOE,JOE_1980_07
VNM,Viet Nam,South-eastern Asia,Asia,1980,7.0,23.0,1980,7.0,23.0,132.0,210.0,6624710.0,,,JOE,JOE_1980_07
CHN,China,Eastern Asia,Asia,1980,7.0,24.0,1980,7.0,24.0,188.0,,100.0,,,JOE,JOE_1980_07
PHL,Philippines,South-eastern Asia,Asia,1980,7.0,25.0,1980,7.0,25.0,40.0,,190000.0,,,KIM,KIM_1980_07
LCA,Saint Lucia,Latin America and the Caribbean,Americas,1980,7.0,31.0,1980,8.0,11.0,9.0,,80000.0,87990.0,334936.0,ALLEN,ALLEN_1980_07
VCT,Saint Vincent and the Grenadines,Latin America and the Caribbean,Americas,1980,7.0,31.0,1980,8.0,11.0,,,20500.0,16300.0,62046.0,ALLEN,ALLEN_1980_07
HTI,Haiti,Latin America and the Caribbean,Americas,1980,8.0,5.0,1980,8.0,5.0,220.0,,1165000.0,400000.0,1522608.0,ALLEN,ALLEN_1980_08
JAM,Jamaica,Latin America and the Caribbean,Americas,1980,7.0,31.0,1980,8.0,11.0,6.0,9.0,30009.0,64000.0,243617.0,ALLEN,ALLEN_1980_07
USA,United States of America,Northern America,Americas,1980,8.0,9.0,1980,8.0,9.0,,,,860000.0,3273606.0,ALLEN,ALLEN_1980_08
JPN,Japan,Eastern Asia,Asia,1980,9.0,11.0,1980,9.0,11.0,7.0,33.0,17033.0,,,ORCHID,ORCHID_1980_09
VNM,Viet Nam,South-eastern Asia,Asia,1980,9.0,15.0,1980,9.0,15.0,176.0,174.0,9027174.0,,,RUTH,RUTH_1980_09
KOR,Republic of Korea,Eastern Asia,Asia,1980,9.0,15.0,1980,9.0,15.0,15.0,17.0,17.0,7220.0,27483.0,ORCHID,ORCHID_1980_09
PHL,Philippines,South-eastern Asia,Asia,1980,11.0,6.0,1980,11.0,6.0,101.0,,1004000.0,102300.0,389407.0,BETTY,BETTY_1980_11
PHL,Philippines,South-eastern Asia,Asia,1980,3.0,20.0,1980,3.0,20.0,4.0,,665.0,402.0,1530.0,,
PHL,Philippines,South-eastern Asia,Asia,1980,5.0,7.0,1980,5.0,7.0,,,3063.0,289.0,1100.0,,
PHL,Philippines,South-eastern Asia,Asia,1980,7.0,19.0,1980,7.0,19.0,36.0,55.0,69237.0,,,,
HKG,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,1980,7.0,18.0,1980,7.0,18.0,2.0,59.0,68.0,,,JOE,JOE_1980_07
IND,India,Southern Asia,Asia,1980,10.0,16.0,1980,10.0,16.0,28.0,,,,,,
CUB,Cuba,Latin America and the Caribbean,Americas,1980,8.0,4.0,1980,8.0,4.0,3.0,,,,,ALLEN,ALLEN_1980_08
DMA,Dominica,Latin America and the Caribbean,Americas,1980,8.0,4.0,1980,8.0,4.0,,,,,,ALLEN,ALLEN_1980_08
DOM,Dominican Republic,Latin America and the Caribbean,Americas,1980,8.0,4.0,1980,8.0,4.0,7.0,,,47000.0,178906.0,ALLEN,ALLEN_1980_08
USA,United States of America,Northern America,Americas,1980,5.0,13.0,1980,5.0,13.0,7.0,70.0,470.0,30000.0,114196.0,,
USA,United States of America,Northern America,Americas,1980,6.0,4.0,1980,6.0,4.0,5.0,100.0,100.0,20000.0,76130.0,,
GRD,Grenada,Latin America and the Caribbean,Americas,1980,8.0,4.0,1980,8.0,4.0,,,,5300.0,20175.0,ALLEN,ALLEN_1980_08
BRB,Barbados,Latin America and the Caribbean,Americas,1980,7.0,31.0,1980,8.0,11.0,,7.0,5007.0,1500.0,5710.0,ALLEN,ALLEN_1980_07
MTQ,Martinique,Latin America and the Caribbean,Americas,1980,8.0,5.0,1980,8.0,5.0,,,,68000.0,258843.0,ALLEN,ALLEN_1980_08
IDN,Indonesia,South-eastern Asia,Asia,1980,2.0,15.0,1980,2.0,15.0,,,800.0,,,,
FJI,Fiji,Melanesia,Oceania,1981,1.0,15.0,1981,1.0,15.0,,,4700.0,,,ARTHUR,ARTHUR_1981_01
VUT,Vanuatu,Melanesia,Oceania,1981,2.0,11.0,1981,2.0,11.0,,,,,,CLIFF,CLIFF_1981_02
NCL,New Caledonia,Melanesia,Oceania,1981,2.0,11.0,1981,2.0,11.0,1.0,,2000.0,,,CLIFF,CLIFF_1981_02
COK,Cook Islands,Polynesia,Oceania,1981,2.0,21.0,1981,2.0,21.0,,,,,,DAMAN,DAMAN_1981_02
NCL,New Caledonia,Melanesia,Oceania,1981,3.0,5.0,1981,3.0,5.0,,,,,,FREDA,FREDA_1981_03
PHL,Philippines,South-eastern Asia,Asia,1981,7.0,4.0,1981,7.0,4.0,,,28500.0,,,,
THA,Thailand,South-eastern Asia,Asia,1981,7.0,6.0,1981,7.0,6.0,,,43000.0,,,KELLY,KELLY_1981_07
JPN,Japan,Eastern Asia,Asia,1981,8.0,6.0,1981,8.0,6.0,7.0,,62500.0,,,PHYLLIS,PHYLLIS_1981_08
