SID,SEASON,BASIN,NAME,ISO_TIME,LAT,LON,USA_WIND,USA_SSHS,geometry,index_right,NAME_NORM
2013306N07162,2013,Western Pacific,HAIYAN,2013-11-07 21:00:00,10.8,125.9,168.0,5,POINT (125.9 10.8),49,HAIYAN_2013_11
2025294N14290,2025,North Atlantic,MELISSA,2025-10-28 12:00:00,17.5,-78.1,165.0,5,POINT (-78.1 17.5),53,MELISSA_2025_10
1980214N11330,1980,North Atlantic,ALLEN,1980-08-07 18:00:00,21.8,-86.4,165.0,5,POINT (-86.4 21.8),95,ALLEN_1980_08
2019236N10314,2019,North Atlantic,DORIAN,2019-09-01 16:40:00,26.5,-77.0,160.0,5,POINT (-77 26.5),64,DORIAN_2019_09
2006106S10153,2006,South Pacific,MONICA,2006-04-23 12:00:00,-11.3,136.7,155.0,5,POINT (136.7 -11.3),21,MONICA_2006_04
1995293N05177,1995,Western Pacific,ANGELA,1995-11-02 09:00:00,14.1,124.7,155.0,5,POINT (124.7 14.1),51,ANGELA_1995_11
2016041S14170,2016,South Pacific,WINSTON,2016-02-20 06:00:00,-17.4,178.7,155.0,5,POINT (178.7 -17.4),15,WINSTON_2016_02
1998281N11151,1998,Western Pacific,ZEB,1998-10-13 21:00:00,16.7,123.2,155.0,5,POINT (123.2 16.7),51,ZEB_1998_10
2016253N13144,2016,Western Pacific,MERANTI,2016-09-14 00:00:00,21.5,120.8,155.0,5,POINT (120.8 21.5),63,MERANTI_2016_09
2024279N21265,2024,North Atlantic,MILTON,2024-10-07 21:00:00,21.8,-90.7,153.0,5,POINT (-90.7 21.8),95,MILTON_2024_10
2021248N12141,2021,Western Pacific,CHANTHU,2021-09-10 15:00:00,19.1,122.5,153.0,5,POINT (122.5 19.1),51,CHANTHU_2021_09
2015066S08170,2015,South Pacific,PAM,2015-03-13 06:00:00,-16.6,168.8,150.0,5,POINT (168.8 -16.6),18,PAM_2015_03
2010285N13145,2010,Western Pacific,MEGI,2010-10-18 00:00:00,17.4,123.3,150.0,5,POINT (123.3 17.4),51,MEGI_2010_10
2007225N12331,2007,North Atlantic,DEAN,2007-08-21 06:00:00,18.6,-86.9,150.0,5,POINT (-86.9 18.6),95,DEAN_2007_08
2017242N16333,2017,North Atlantic,IRMA,2017-09-06 21:00:00,18.9,-65.4,150.0,5,POINT (-65.4 18.9),52,IRMA_2017_09
2012331N03157,2012,Western Pacific,BOPHA,2012-12-03 18:00:00,7.6,127.2,150.0,5,POINT (127.2 7.6),43,BOPHA_2012_12
2015293N13266,2015,Eastern Pacific,PATRICIA,2015-10-23 21:00:00,19.0,-105.2,150.0,5,POINT (-105.2 19),95,PATRICIA_2015_10
2020299N11144,2020,Western Pacific,GONI,2020-10-31 21:00:00,13.6,124.3,150.0,5,POINT (124.3 13.6),51,GONI_2020_10
2019116N02090,2019,North Indian,FANI,2019-05-02 15:00:00,17.9,84.9,148.0,5,POINT (84.9 17.9),112,FANI_2019_05
2004247N10332,2004,North Atlantic,IVAN,2004-09-11 18:00:00,18.0,-79.0,145.0,5,POINT (-79 18),53,IVAN_2004_09
1998295N12284,1998,North Atlantic,MITCH,1998-10-27 18:00:00,16.9,-85.4,145.0,5,POINT (-85.4 16.9),95,MITCH_1998_10
1987320N03171,1987,Western Pacific,NINA,1987-11-25 12:00:00,13.1,124.5,145.0,5,POINT (124.5 13.1),49,NINA_1987_11
2023294N09264,2023,Eastern Pacific,OTIS,2023-10-25 03:00:00,16.1,-99.7,145.0,5,POINT (-99.7 16.1),95,OTIS_2023_10
1992230N11325,1992,North Atlantic,ANDREW,1992-08-24 09:00:00,25.5,-80.3,145.0,5,POINT (-80.3 25.5),95,ANDREW_1992_08
2016273N13300,2016,North Atlantic,MATTHEW,2016-10-01 00:00:00,13.4,-71.9,145.0,5,POINT (-71.9 13.4),95,MATTHEW_2016_10
2020092S09155,2020,South Pacific,HAROLD,2020-04-06 06:00:00,-15.8,167.8,145.0,5,POINT (167.8 -15.8),18,HAROLD_2020_04
1988253N12306,1988,North Atlantic,GILBERT,1988-09-14 12:00:00,20.4,-86.5,145.0,5,POINT (-86.5 20.4),95,GILBERT_1988_09
2021346N05145,2021,Western Pacific,RAI,2021-12-16 03:00:00,9.8,126.8,143.0,5,POINT (126.8 9.8),43,RAI_2021_12
2025262N16133,2025,Western Pacific,RAGASA,2025-09-22 03:00:00,19.3,122.3,141.0,5,POINT (122.3 19.3),51,RAGASA_2025_09
2014190N08154,2014,Western Pacific,RAMMASUN,2014-07-18 06:00:00,19.9,111.3,140.0,5,POINT (111.3 19.9),55,RAMMASUN_2014_07
2011233N12129,2011,Western Pacific,NANMADOL,2011-08-26 15:00:00,17.8,123.0,140.0,5,POINT (123 17.8),51,NANMADOL_2011_08
2004134N07132,2004,Western Pacific,NIDA,2004-05-16 15:00:00,13.0,125.2,140.0,5,POINT (125.2 13),49,NIDA_2004_05
2018280N18273,2018,North Atlantic,MICHAEL,2018-10-10 17:30:00,30.0,-85.5,140.0,5,POINT (-85.5 30),95,MICHAEL_2018_10
2015122N07144,2015,Western Pacific,NOUL,2015-05-10 06:00:00,17.8,122.6,140.0,5,POINT (122.6 17.8),51,NOUL_2015_05
2018250N12170,2018,Western Pacific,MANGKHUT,2018-09-14 18:00:00,18.0,122.3,140.0,5,POINT (122.3 18),51,MANGKHUT_2018_09
2002063S11066,2002,South Indian,HARY,2002-03-10 00:00:00,-14.7,50.8,140.0,5,POINT (50.8 -14.7),20,HARY_2002_03
1989190N20160,1989,Western Pacific,GORDON,1989-07-15 15:00:00,17.7,123.3,140.0,5,POINT (123.3 17.7),51,GORDON_1989_07
2007244N12303,2007,North Atlantic,FELIX,2007-09-04 12:00:00,14.3,-83.2,140.0,5,POINT (-83.2 14.3),95,FELIX_2007_09
2022266N12294,2022,North Atlantic,IAN,2022-09-28 12:00:00,26.0,-82.7,140.0,5,POINT (-82.7 26),95,IAN_2022_09
1999298N12099,1999,North Indian,UNNAMED,1999-10-29 00:00:00,19.6,86.9,140.0,5,POINT (86.9 19.6),112,UNNAMED_1999_10
1996246N08148,1996,Western Pacific,SALLY,1996-09-07 18:00:00,19.2,121.8,140.0,5,POINT (121.8 19.2),51,SALLY_1996_09
2023096S07135,2023,South Indian,ILSA,2023-04-13 09:00:00,-19.1,118.8,140.0,5,POINT (118.8 -19.1),21,ILSA_2023_04
1989286N14137,1989,Western Pacific,ELSIE,1989-10-19 00:00:00,16.6,123.0,140.0,5,POINT (123 16.6),51,ELSIE_1989_10
2000230N08139,2000,Western Pacific,BILIS,2000-08-22 12:00:00,22.5,122.0,140.0,5,POINT (122 22.5),63,BILIS_2000_08
2006298N12143,2006,Western Pacific,CIMARON,2006-10-29 12:00:00,16.5,122.6,140.0,5,POINT (122.6 16.5),51,CIMARON_2006_10
1989305N07105,1989,North Indian,GAY,1989-11-08 18:00:00,14.8,80.3,140.0,5,POINT (80.3 14.8),112,GAY_1989_11
2017260N12310,2017,North Atlantic,MARIA,2017-09-20 06:00:00,17.6,-65.1,140.0,5,POINT (-65.1 17.6),52,MARIA_2017_09
1987219N08134,1987,Western Pacific,BETTY,1987-08-11 21:00:00,12.3,126.0,138.0,5,POINT (126 12.3),49,BETTY_1987_08
1991113N10091,1991,North Indian,UNNAMED,1991-04-29 15:00:00,21.2,91.0,138.0,5,POINT (91 21.2),112,UNNAMED_1991_04
2024313N10169,2024,Western Pacific,MAN-YI,2024-11-16 03:00:00,12.9,126.1,138.0,5,POINT (126.1 12.9),49,MAN-YI_2024_11
1997283N07177,1997,Western Pacific,IVAN,1997-10-19 06:00:00,17.2,123.4,135.0,4,POINT (123.4 17.2),51,IVAN_1997_10
2023234N18128,2023,Western Pacific,SAOLA,2023-08-29 12:00:00,19.3,122.7,135.0,4,POINT (122.7 19.3),51,SAOLA_2023_08
2022264N17132,2022,Western Pacific,NORU,2022-09-25 00:00:00,15.0,123.6,135.0,4,POINT (123.6 15),51,NORU_2022_09
2011028S13180,2011,South Pacific,YASI,2011-02-02 12:00:00,-17.5,146.9,135.0,4,POINT (146.9 -17.5),21,YASI_2011_02
2005063S12141,2005,South Indian,INGRID,2005-03-12 09:00:00,-11.4,134.4,135.0,4,POINT (134.4 -11.4),21,INGRID_2005_03
2010293N17093,2010,North Indian,GIRI,2010-10-22 12:00:00,19.8,93.4,135.0,4,POINT (93.4 19.8),112,GIRI_2010_10
2016355N07146,2016,Western Pacific,NOCK-TEN,2016-12-25 06:00:00,13.5,125.1,135.0,4,POINT (125.1 13.5),49,NOCK-TEN_2016_12
1988006S05182,1988,South Pacific,ANNE,1988-01-10 21:00:00,-14.5,165.7,135.0,4,POINT (165.7 -14.5),19,ANNE_1988_01
2004061S12072,2004,South Indian,GAFILO,2004-03-06 21:00:00,-15.0,51.1,135.0,4,POINT (51.1 -15),20,GAFILO_2004_03
1998285N12149,1998,Western Pacific,BABS,1998-10-21 00:00:00,13.1,125.6,135.0,4,POINT (125.6 13.1),49,BABS_1998_10
2006329N06150,2006,Western Pacific,DURIAN,2006-11-30 00:00:00,13.4,124.6,135.0,4,POINT (124.6 13.4),49,DURIAN_2006_11
2008238N13293,2008,North Atlantic,GUSTAV,2008-08-30 22:00:00,22.4,-83.1,135.0,4,POINT (-83.1 22.4),61,GUSTAV_2008_08
2021239N17281,2021,North Atlantic,IDA,2021-08-29 16:55:00,29.1,-90.2,130.0,4,POINT (-90.2 29.1),95,IDA_2021_08
1989271N12142,1989,Western Pacific,ANGELA,1989-10-05 12:00:00,18.3,123.0,130.0,4,POINT (123 18.3),51,ANGELA_1989_10
2009342S09140,2010,South Indian,LAURENCE,2009-12-21 06:00:00,-19.5,120.6,130.0,4,POINT (120.6 -19.5),21,LAURENCE_2009_12
1998335S12138,1999,South Indian,THELMA,1998-12-10 00:00:00,-13.0,126.4,130.0,4,POINT (126.4 -13),21,THELMA_1998_12
2005186N12299,2005,North Atlantic,DENNIS,2005-07-08 12:00:00,20.9,-79.5,130.0,4,POINT (-79.5 20.9),61,DENNIS_2005_07
2020318N16289,2020,North Atlantic,IOTA,2020-11-16 21:00:00,13.6,-82.6,130.0,4,POINT (-82.6 13.6),95,IOTA_2020_11
2007314N10093,2007,North Indian,SIDR,2007-11-15 12:00:00,21.0,89.2,130.0,4,POINT (89.2 21),112,SIDR_2007_11
1995258N14115,1995,Western Pacific,RYAN,1995-09-22 03:00:00,21.9,121.5,130.0,4,POINT (121.5 21.9),63,RYAN_1995_09
2002295N11261,2002,Eastern Pacific,KENNA,2002-10-25 12:00:00,20.4,-106.5,130.0,4,POINT (-106.5 20.4),95,KENNA_2002_10
1990310N07152,1990,Western Pacific,MIKE,1990-11-12 12:00:00,10.1,126.6,130.0,4,POINT (126.6 10.1),43,MIKE_1990_11
2020233N14313,2020,North Atlantic,LAURA,2020-08-27 03:00:00,29.1,-93.2,130.0,4,POINT (-93.2 29.1),95,LAURA_2020_08
2011270N18139,2011,Western Pacific,NALGAE,2011-10-01 00:00:00,16.8,122.7,130.0,4,POINT (122.7 16.8),51,NALGAE_2011_10
1996203N12152,1996,Western Pacific,HERB,1996-07-31 12:00:00,24.8,122.6,130.0,4,POINT (122.6 24.8),63,HERB_1996_07
2006216N07151,2006,Western Pacific,SAOMAI,2006-08-10 06:00:00,27.0,121.2,130.0,4,POINT (121.2 27),112,SAOMAI_2006_08
